timestamp,price_energy_levies_positive,price_energy_levies_negative
1598911200,0.18,0.18
1598912100,0.18,0.18
1598913000,0.18,0.18
1598913900,0.18,0.18
1598914800,0.18,0.18
1598915700,0.18,0.18
1598916600,0.18,0.18
1598917500,0.18,0.18
1598918400,0.18,0.18
1598919300,0.18,0.18
1598920200,0.18,0.18
1598921100,0.18,0.18
1598922000,0.18,0.18
1598922900,0.18,0.18
1598923800,0.18,0.18
1598924700,0.18,0.18
1598925600,0.18,0.18
1598926500,0.18,0.18
1598927400,0.18,0.18
1598928300,0.18,0.18
1598929200,0.18,0.18
1598930100,0.18,0.18
1598931000,0.18,0.18
1598931900,0.18,0.18
1598932800,0.18,0.18
1598933700,0.18,0.18
1598934600,0.18,0.18
1598935500,0.18,0.18
1598936400,0.18,0.18
1598937300,0.18,0.18
1598938200,0.18,0.18
1598939100,0.18,0.18
1598940000,0.18,0.18
1598940900,0.18,0.18
1598941800,0.18,0.18
1598942700,0.18,0.18
1598943600,0.18,0.18
1598944500,0.18,0.18
1598945400,0.18,0.18
1598946300,0.18,0.18
1598947200,0.18,0.18
1598948100,0.18,0.18
1598949000,0.18,0.18
1598949900,0.18,0.18
1598950800,0.18,0.18
1598951700,0.18,0.18
1598952600,0.18,0.18
1598953500,0.18,0.18
1598954400,0.18,0.18
1598955300,0.18,0.18
1598956200,0.18,0.18
1598957100,0.18,0.18
1598958000,0.18,0.18
1598958900,0.18,0.18
1598959800,0.18,0.18
1598960700,0.18,0.18
1598961600,0.18,0.18
1598962500,0.18,0.18
1598963400,0.18,0.18
1598964300,0.18,0.18
1598965200,0.18,0.18
1598966100,0.18,0.18
1598967000,0.18,0.18
1598967900,0.18,0.18
1598968800,0.18,0.18
1598969700,0.18,0.18
1598970600,0.18,0.18
1598971500,0.18,0.18
1598972400,0.18,0.18
1598973300,0.18,0.18
1598974200,0.18,0.18
1598975100,0.18,0.18
1598976000,0.18,0.18
1598976900,0.18,0.18
1598977800,0.18,0.18
1598978700,0.18,0.18
1598979600,0.18,0.18
1598980500,0.18,0.18
1598981400,0.18,0.18
1598982300,0.18,0.18
1598983200,0.18,0.18
1598984100,0.18,0.18
1598985000,0.18,0.18
1598985900,0.18,0.18
1598986800,0.18,0.18
1598987700,0.18,0.18
1598988600,0.18,0.18
1598989500,0.18,0.18
1598990400,0.18,0.18
1598991300,0.18,0.18
1598992200,0.18,0.18
1598993100,0.18,0.18
1598994000,0.18,0.18
1598994900,0.18,0.18
1598995800,0.18,0.18
1598996700,0.18,0.18
1598997600,0.18,0.18
1598998500,0.18,0.18
1598999400,0.18,0.18
1599000300,0.18,0.18
1599001200,0.18,0.18
1599002100,0.18,0.18
1599003000,0.18,0.18
1599003900,0.18,0.18
1599004800,0.18,0.18
1599005700,0.18,0.18
1599006600,0.18,0.18
1599007500,0.18,0.18
1599008400,0.18,0.18
1599009300,0.18,0.18
1599010200,0.18,0.18
1599011100,0.18,0.18
1599012000,0.18,0.18
1599012900,0.18,0.18
1599013800,0.18,0.18
1599014700,0.18,0.18
1599015600,0.18,0.18
1599016500,0.18,0.18
1599017400,0.18,0.18
1599018300,0.18,0.18
1599019200,0.18,0.18
1599020100,0.18,0.18
1599021000,0.18,0.18
1599021900,0.18,0.18
1599022800,0.18,0.18
1599023700,0.18,0.18
1599024600,0.18,0.18
1599025500,0.18,0.18
1599026400,0.18,0.18
1599027300,0.18,0.18
1599028200,0.18,0.18
1599029100,0.18,0.18
1599030000,0.18,0.18
1599030900,0.18,0.18
1599031800,0.18,0.18
1599032700,0.18,0.18
1599033600,0.18,0.18
1599034500,0.18,0.18
1599035400,0.18,0.18
1599036300,0.18,0.18
1599037200,0.18,0.18
1599038100,0.18,0.18
1599039000,0.18,0.18
1599039900,0.18,0.18
1599040800,0.18,0.18
1599041700,0.18,0.18
1599042600,0.18,0.18
1599043500,0.18,0.18
1599044400,0.18,0.18
1599045300,0.18,0.18
1599046200,0.18,0.18
1599047100,0.18,0.18
1599048000,0.18,0.18
1599048900,0.18,0.18
1599049800,0.18,0.18
1599050700,0.18,0.18
1599051600,0.18,0.18
1599052500,0.18,0.18
1599053400,0.18,0.18
1599054300,0.18,0.18
1599055200,0.18,0.18
1599056100,0.18,0.18
1599057000,0.18,0.18
1599057900,0.18,0.18
1599058800,0.18,0.18
1599059700,0.18,0.18
1599060600,0.18,0.18
1599061500,0.18,0.18
1599062400,0.18,0.18
1599063300,0.18,0.18
1599064200,0.18,0.18
1599065100,0.18,0.18
1599066000,0.18,0.18
1599066900,0.18,0.18
1599067800,0.18,0.18
1599068700,0.18,0.18
1599069600,0.18,0.18
1599070500,0.18,0.18
1599071400,0.18,0.18
1599072300,0.18,0.18
1599073200,0.18,0.18
1599074100,0.18,0.18
1599075000,0.18,0.18
1599075900,0.18,0.18
1599076800,0.18,0.18
1599077700,0.18,0.18
1599078600,0.18,0.18
1599079500,0.18,0.18
1599080400,0.18,0.18
1599081300,0.18,0.18
1599082200,0.18,0.18
1599083100,0.18,0.18
1599084000,0.18,0.18
1599084900,0.18,0.18
1599085800,0.18,0.18
1599086700,0.18,0.18
1599087600,0.18,0.18
1599088500,0.18,0.18
1599089400,0.18,0.18
1599090300,0.18,0.18
1599091200,0.18,0.18
1599092100,0.18,0.18
1599093000,0.18,0.18
1599093900,0.18,0.18
1599094800,0.18,0.18
1599095700,0.18,0.18
1599096600,0.18,0.18
1599097500,0.18,0.18
1599098400,0.18,0.18
1599099300,0.18,0.18
1599100200,0.18,0.18
1599101100,0.18,0.18
1599102000,0.18,0.18
1599102900,0.18,0.18
1599103800,0.18,0.18
1599104700,0.18,0.18
1599105600,0.18,0.18
1599106500,0.18,0.18
1599107400,0.18,0.18
1599108300,0.18,0.18
1599109200,0.18,0.18
