timestamp,power
1588284000,58
1588284900,51
1588285800,40
1588286700,31
1588287600,68
1588288500,33
1588289400,39
1588290300,40
1588291200,47
1588292100,43
1588293000,31
1588293900,40
1588294800,35
1588295700,25
1588296600,40
1588297500,41
1588298400,59
1588299300,34
1588300200,41
1588301100,31
1588302000,100
1588302900,65
1588303800,69
1588304700,52
1588305600,72
1588306500,56
1588307400,50
1588308300,43
1588309200,54
1588310100,42
1588311000,53
1588311900,43
1588312800,63
1588313700,60
1588314600,55
1588315500,43
1588316400,60
1588317300,168
1588318200,59
1588319100,50
1588320000,199
1588320900,229
1588321800,291
1588322700,354
1588323600,235
1588324500,386
1588325400,110
1588326300,73
1588327200,68
1588328100,81
1588329000,70
1588329900,116
1588330800,64
1588331700,65
1588332600,53
1588333500,51
1588334400,67
1588335300,69
1588336200,50
1588337100,49
1588338000,60
1588338900,137
1588339800,60
1588340700,53
1588341600,79
1588342500,49
1588343400,55
1588344300,50
1588345200,55
1588346100,58
1588347000,78
1588347900,88
1588348800,134
1588349700,171
1588350600,94
1588351500,90
1588352400,136
1588353300,173
1588354200,158
1588355100,138
1588356000,152
1588356900,171
1588357800,165
1588358700,171
1588359600,159
1588360500,202
1588361400,204
1588362300,188
1588363200,223
1588364100,221
1588365000,201
1588365900,182
1588366800,141
1588367700,135
1588368600,134
1588369500,132
1588370400,120
1588371300,110
1588372200,60
1588373100,50
1588374000,31
1588374900,24
1588375800,34
1588376700,39
1588377600,51
1588378500,29
1588379400,40
1588380300,31
1588381200,40
1588382100,30
1588383000,31
1588383900,63
1588384800,46
1588385700,44
1588386600,44
1588387500,48
1588388400,35
1588389300,53
1588390200,58
1588391100,65
1588392000,95
1588392900,63
1588393800,83
1588394700,34
1588395600,53
1588396500,51
1588397400,71
1588398300,45
1588399200,46
1588400100,48
1588401000,35
1588401900,46
1588402800,160
1588403700,89
1588404600,59
1588405500,373
1588406400,52
1588407300,87
1588408200,47
1588409100,71
1588410000,64
1588410900,52
1588411800,47
1588412700,217
1588413600,168
1588414500,46
1588415400,104
1588416300,64
1588417200,45
1588418100,65
1588419000,55
1588419900,115
1588420800,54
1588421700,62
1588422600,68
1588423500,418
1588424400,288
1588425300,45
1588426200,51
1588427100,49
1588428000,57
1588428900,44
1588429800,76
1588430700,49
1588431600,59
1588432500,156
1588433400,217
1588434300,155
1588435200,112
1588436100,102
1588437000,75
1588437900,55
1588438800,64
1588439700,70
1588440600,42
1588441500,106
1588442400,92
1588443300,59
1588444200,78
1588445100,123
1588446000,137
1588446900,134
1588447800,158
1588448700,122
1588449600,124
1588450500,131
1588451400,100
1588452300,123
1588453200,114
1588454100,96
1588455000,114
1588455900,122
1588456800,118
1588457700,106
1588458600,76
1588459500,52
1588460400,62
1588461300,44
1588462200,75
1588463100,73
1588464000,46
1588464900,53
1588465800,59
1588466700,65
1588467600,84
1588468500,83
1588469400,74
1588470300,64
1588471200,58
1588472100,71
1588473000,61
1588473900,107
1588474800,98
1588475700,72
1588476600,76
1588477500,44
1588478400,77
1588479300,75
1588480200,82
1588481100,60
1588482000,56
1588482900,67
1588483800,45
1588484700,50
1588485600,72
1588486500,74
1588487400,50
1588488300,115
1588489200,113
1588490100,295
1588491000,229
1588491900,98
1588492800,113
1588493700,177
1588494600,294
1588495500,255
1588496400,347
1588497300,328
1588498200,74
1588499100,111
1588500000,56
1588500900,77
1588501800,68
1588502700,85
1588503600,98
1588504500,81
1588505400,74
1588506300,63
1588507200,51
1588508100,75
1588509000,87
1588509900,83
1588510800,67
1588511700,163
1588512600,69
1588513500,73
1588514400,92
1588515300,84
1588516200,76
1588517100,76
1588518000,87
1588518900,80
1588519800,102
1588520700,93
1588521600,99
1588522500,264
1588523400,340
1588524300,188
1588525200,164
1588526100,151
1588527000,126
1588527900,160
1588528800,165
1588529700,167
1588530600,172
1588531500,177
1588532400,155
1588533300,156
1588534200,132
1588535100,123
1588536000,98
1588536900,119
1588537800,72
1588538700,97
1588539600,56
1588540500,55
1588541400,56
1588542300,77
1588543200,44
1588544100,41
1588545000,30
1588545900,40
1588546800,31
1588547700,42
1588548600,44
1588549500,39
1588550400,33
1588551300,33
1588552200,27
1588553100,29
1588554000,52
1588554900,47
1588555800,30
1588556700,30
1588557600,40
1588558500,30
1588559400,29
